latitude,longitude,time,date,light 0-1024,sound value 0-1024,sound average,sound peak,temperature C
51.5019760131,0.0057715997,14:29:1,27/1/2016,33,1,8.26,46,18.36
51.5020103454,0.0058133001,14:29:3,27/1/2016,33,18,10.04,91,18.36
51.5020103454,0.0058000001,14:29:4,27/1/2016,32,1,8.87,129,18.85
51.5020103454,0.0057966003,14:29:4,27/1/2016,39,9,14.59,87,18.85
51.5020179748,0.0058016004,14:29:6,27/1/2016,106,18,78.17,390,18.36
51.5020103454,0.0058083004,14:29:7,27/1/2016,80,18,26.91,161,18.36
51.5020179748,0.0058083004,14:29:8,27/1/2016,83,35,39.5,292,17.87
51.5020256042,0.0058116006,14:29:8,27/1/2016,81,46,24.88,229,18.36
51.5020256042,0.005815,14:29:10,27/1/2016,79,132,74.98,299,18.36
51.5020332336,0.0058215999,14:29:11,27/1/2016,79,28,25.37,128,18.36
51.5020332336,0.0058333005,14:29:12,27/1/2016,80,22,17,88,17.87
51.5020523071,0.005835,14:29:12,27/1/2016,81,27,15.31,100,17.87
51.5020599365,0.0058366003,14:29:14,27/1/2016,82,33,23.17,185,17.87
51.5020675659,0.0058400001,14:29:15,27/1/2016,82,12,58.19,265,17.87
51.5020751953,0.0058382997,14:29:16,27/1/2016,76,12,20.88,135,17.87
51.5020751953,0.0058416004,14:29:16,27/1/2016,75,15,14.08,83,17.87
51.5020828247,0.0058400001,14:29:18,27/1/2016,71,48,25.71,122,17.87
51.5020980834,0.0058366003,14:29:19,27/1/2016,77,23,73.66,353,17.38
51.5021095275,0.0058315997,14:29:20,27/1/2016,81,9,13.65,91,17.87
51.5021171569,0.0058232998,14:29:20,27/1/2016,41,1,12.29,99,17.38
51.5021247863,0.0058300008,14:29:22,27/1/2016,35,75,20.68,176,17.38
51.5021247863,0.0058333005,14:29:23,27/1/2016,38,106,97.95,421,17.38
51.5021247863,0.0058416004,14:29:24,27/1/2016,35,110,46.54,259,17.38
51.5021171569,0.0058416004,14:29:24,27/1/2016,35,68,60.77,241,17.38
51.5021095275,0.0058500003,14:29:26,27/1/2016,34,44,62.79,277,17.38
51.5020980834,0.0058583002,14:29:27,27/1/2016,35,36,72.13,442,17.38
51.5020904541,0.0058650007,14:29:28,27/1/2016,34,94,43.08,179,17.38
51.5020828247,0.0058616008,14:29:28,27/1/2016,33,9,40.89,202,17.38
51.5020828247,0.0058666,14:29:30,27/1/2016,34,6,15.74,133,17.38
51.5020751953,0.0058600001,14:29:31,27/1/2016,33,1,7.25,47,16.89
51.5020751953,0.0058666,14:29:32,27/1/2016,33,31,10.76,48,17.38
51.5020675659,0.0058716006,14:29:32,27/1/2016,33,47,21.18,99,17.38
51.5020599365,0.0058750004,14:29:34,27/1/2016,33,4,4.68,41,17.38
51.5020599365,0.0058766002,14:29:35,27/1/2016,33,0,10.78,74,16.89
51.5020523071,0.0058783001,14:29:36,27/1/2016,33,22,10.05,60,16.89
51.502040863,0.0058816003,14:29:36,27/1/2016,33,11,11.04,85,16.89
51.502040863,0.0058800001,14:29:38,27/1/2016,33,4,3.44,27,16.41
51.502040863,0.0058816003,14:29:39,27/1/2016,33,8,21.62,165,16.89
51.502040863,0.0058833003,14:29:40,27/1/2016,33,67,20.66,139,15.43
51.502040863,0.0058849997,14:29:40,27/1/2016,33,8,20.82,171,17.38
51.5020332336,0.0058849997,14:29:42,27/1/2016,33,0,3.54,29,17.38
51.5020332336,0.0058849997,14:29:43,27/1/2016,33,0,12.32,54,16.89
51.5020332336,0.0058849997,14:29:44,27/1/2016,33,0,7.09,48,16.41
51.5020332336,0.0058849997,14:29:44,27/1/2016,33,12,4.75,22,16.89
51.5020332336,0.0058849997,14:29:46,27/1/2016,32,17,8.17,42,16.89
51.5020332336,0.0058833003,14:29:47,27/1/2016,32,2,12.52,58,16.89
51.5020332336,0.0058816003,14:29:48,27/1/2016,32,15,6.12,26,16.89
51.5020256042,0.0058800001,14:29:48,27/1/2016,31,0,5.09,27,16.89
51.5020256042,0.0058800001,14:29:50,27/1/2016,31,0,6.45,49,17.38
51.5020332336,0.0058800001,14:29:51,27/1/2016,30,4,5.16,23,17.38
51.502040863,0.0058750004,14:29:52,27/1/2016,30,0,15.61,69,17.38
51.5020523071,0.0058783001,14:29:52,27/1/2016,29,3,4.5,27,17.38
51.5020599365,0.0058833003,14:29:54,27/1/2016,29,5,13.02,67,17.38
51.5020751953,0.0058783001,14:29:55,27/1/2016,29,5,8.76,39,16.89
51.5020828247,0.0058716006,14:29:56,27/1/2016,29,6,6.16,55,16.89
51.5020904541,0.0058632998,14:29:56,27/1/2016,29,2,3.27,21,16.41
51.5021095275,0.0058616008,14:29:58,27/1/2016,29,22,3.97,27,16.89
51.5021247863,0.0058632998,14:29:59,27/1/2016,29,3,27.95,110,16.41
51.5021324157,0.0058632998,14:30:0,27/1/2016,29,4,16.96,109,17.38
51.5021476745,0.0058600001,14:30:0,27/1/2016,30,24,11.9,58,17.38
51.5021553039,0.0058583002,14:30:2,27/1/2016,30,9,6.6,25,17.38
51.5021629333,0.0058583002,14:30:3,27/1/2016,31,1,3.57,23,17.38
51.5021820068,0.0058583002,14:30:4,27/1/2016,30,0,4.89,25,17.38
51.5021896362,0.0058616008,14:30:4,27/1/2016,29,6,5.47,30,17.38
51.502204895,0.0058600001,14:30:6,27/1/2016,29,8,4.39,28,17.38
51.5022201538,0.005855,14:30:7,27/1/2016,30,0,3.48,25,17.38
51.5022315979,0.005855,14:30:8,27/1/2016,30,1,4.96,80,17.38
51.5022468566,0.0058533005,14:30:8,27/1/2016,30,12,11.23,45,17.38
51.5022621154,0.0058533005,14:30:10,27/1/2016,29,0,5.15,31,17.38
51.5022773742,0.005855,14:30:11,27/1/2016,30,6,3.83,25,16.89
51.5022850036,0.0058600001,14:30:12,27/1/2016,29,21,3.59,22,17.38
51.5023040771,0.0058616008,14:30:12,27/1/2016,30,2,6.8,32,17.38
51.5023117065,0.0058650007,14:30:14,27/1/2016,31,0,4.72,31,16.89
51.5023269653,0.0058699998,14:30:15,27/1/2016,31,14,3.34,28,16.89
51.5023422241,0.0058750004,14:30:16,27/1/2016,29,22,7.58,51,16.89
51.5023536682,0.0058816003,14:30:16,27/1/2016,30,0,9.44,51,16.89
51.502368927,0.0058849997,14:30:18,27/1/2016,29,12,3.01,43,16.89
51.502368927,0.0058866,14:30:19,27/1/2016,29,2,5.23,47,15.43
51.5023841857,0.0058882999,14:30:20,27/1/2016,30,0,2.94,21,16.89
51.5023841857,0.0058849997,14:30:20,27/1/2016,29,0,2.64,23,16.89
51.5023918151,0.0058882999,14:30:22,27/1/2016,31,7,4.99,24,16.89
51.5024070739,0.0058916001,14:30:23,27/1/2016,30,2,4.8,32,16.89
51.502418518,0.0058916001,14:30:24,27/1/2016,30,11,8.58,53,16.89
51.5024261474,0.0058916001,14:30:24,27/1/2016,30,4,4.23,23,16.89
51.5024414062,0.0059050006,14:30:26,27/1/2016,31,1,6.36,35,16.89
51.5024490356,0.0059066004,14:30:27,27/1/2016,31,3,13.34,89,16.89
51.5024642944,0.0059066004,14:30:28,27/1/2016,30,9,7.7,44,16.89
51.5024757385,0.0059100003,14:30:28,27/1/2016,31,0,5.24,31,16.89
51.5024833679,0.0059265999,14:30:30,27/1/2016,31,0,2.74,26,16.89
51.5024909973,0.0059299998,14:30:31,27/1/2016,32,6,4.47,35,16.89
51.5024986267,0.0059365997,14:30:32,27/1/2016,32,9,3.63,23,16.89
51.5025138854,0.0059416003,14:30:32,27/1/2016,32,2,4.36,26,16.89
51.5025215148,0.0059450001,14:30:34,27/1/2016,31,1,2.57,19,16.89
51.5025215148,0.0059482998,14:30:35,27/1/2016,31,0,2.13,30,16.89
51.5025291442,0.0059549999,14:30:36,27/1/2016,32,0,2.03,17,16.41
51.5025482177,0.0059616003,14:30:36,27/1/2016,32,1,2.45,20,16.89
51.5025558471,0.0059666004,14:30:38,27/1/2016,32,0,2.61,23,16.89
51.5025634765,0.0059766006,14:30:39,27/1/2016,32,30,5.53,35,16.89
51.5025711059,0.0059833002,14:30:40,27/1/2016,32,0,23.23,61,16.89
51.5025787353,0.0059866003,14:30:40,27/1/2016,31,7,9.94,36,16.89
51.5025863647,0.0059899997,14:30:42,27/1/2016,31,0,4.43,35,16.41
51.5025978088,0.0059932999,14:30:43,27/1/2016,32,2,1.98,15,16.41
51.5026054382,0.0059983005,14:30:44,27/1/2016,32,2,4.15,20,16.41
51.5026130676,0.0059966001,14:30:44,27/1/2016,35,3,5.91,37,16.41
51.502620697,0.0060016002,14:30:46,27/1/2016,35,6,6.75,65,16.41
51.5026359558,0.0059966001,14:30:47,27/1/2016,30,1,11.18,161,16.41
51.5026512145,0.006,14:30:48,27/1/2016,30,1,1.96,26,16.41
51.502670288,0.0059983005,14:30:48,27/1/2016,31,0,1.2,16,16.41
51.5026855468,0.0059916009,14:30:50,27/1/2016,31,3,2.89,20,16.41
51.5027008056,0.0059899997,14:30:51,27/1/2016,31,0,2.43,26,16.41
51.502708435,0.0059866003,14:30:52,27/1/2016,31,0,1.98,13,16.41
51.5027198791,0.0059850001,14:30:52,27/1/2016,31,0,1.83,17,16.41
51.5027275085,0.0059966001,14:30:54,27/1/2016,33,5,4.36,43,16.41
51.5027503967,0.0059850001,14:30:55,27/1/2016,37,0,2.62,27,16.41
51.502784729,0.0059816002,14:30:56,27/1/2016,38,0,3.23,20,16.41
51.5027923583,0.0059850001,14:30:56,27/1/2016,34,0,4.17,107,16.41
51.5028076171,0.0059816002,14:30:58,27/1/2016,31,0,4.13,27,16.41
51.5028228759,0.0059733004,14:30:59,27/1/2016,31,0,4.02,25,16.41
51.5028305053,0.0059715995,14:31:0,27/1/2016,31,0,2.26,20,16.41
51.5028419494,0.0059700007,14:31:0,27/1/2016,31,0,1.79,13,15.92
51.5028419494,0.0059733004,14:31:2,27/1/2016,31,3,5.88,32,16.41
51.5028495788,0.0059783005,14:31:3,27/1/2016,30,11,5.77,71,16.41
51.5028572082,0.0059766006,14:31:4,27/1/2016,30,6,3.59,23,16.41
51.502872467,0.0059733004,14:31:4,27/1/2016,30,0,3.34,24,16.41
51.5028800964,0.0059715995,14:31:6,27/1/2016,31,2,6.28,52,16.41
51.5028953552,0.0059700007,14:31:7,27/1/2016,30,15,2.21,23,16.41
51.5028953552,0.0059733004,14:31:8,27/1/2016,30,0,2.72,51,16.41
51.5029067993,0.0059766006,14:31:8,27/1/2016,30,0,4.13,32,16.41
51.5029067993,0.0059783005,14:31:10,27/1/2016,30,1,1.65,17,16.41
51.5029220581,0.0059816002,14:31:11,27/1/2016,30,1,2.92,28,0.29
51.5029296875,0.0059932999,14:31:12,27/1/2016,30,0,1.85,15,15.92
51.5029373168,0.0059983005,14:31:12,27/1/2016,30,24,7.75,56,-14.84
51.5029525756,0.0060016002,14:31:14,27/1/2016,30,2,2.66,23,-7.03
51.5029640197,0.0060016002,14:31:15,27/1/2016,31,8,11.42,34,15.92
51.5029716491,0.0060016002,14:31:16,27/1/2016,30,11,9.97,50,15.92
51.5029792785,0.006,14:31:16,27/1/2016,30,10,7.2,39,15.92
51.5029945373,0.0060016002,14:31:18,27/1/2016,30,13,17.86,140,15.92
51.5030021667,0.0060032997,14:31:19,27/1/2016,30,24,10.88,64,15.92
51.5030174255,0.0060100007,14:31:20,27/1/2016,29,0,3.16,34,15.92
51.503036499,0.0060183,14:31:20,27/1/2016,29,0,1.55,19,15.92
51.5030517578,0.0060266008,14:31:22,27/1/2016,30,0,8.24,39,15.92
51.5030670166,0.0060366001,14:31:23,27/1/2016,30,0,3.39,21,15.92
51.50308609,0.0060466003,14:31:24,27/1/2016,31,5,3.47,23,15.92
51.5030937194,0.0060583,14:31:24,27/1/2016,31,2,3.37,20,15.92
51.5031089782,0.0060683002,14:31:26,27/1/2016,33,4,1.38,13,15.92
51.5031166076,0.0060816001,14:31:27,27/1/2016,33,1,2.14,14,15.92
51.503124237,0.0061000003,14:31:28,27/1/2016,33,4,5.11,30,15.92
51.5031394958,0.0061166,14:31:28,27/1/2016,33,0,2.13,14,15.92
51.5031509399,0.0061332998,14:31:30,27/1/2016,33,7,2.9,24,15.92
51.5031585693,0.0061515998,14:31:31,27/1/2016,31,3,5.38,24,15.92
51.5031585693,0.0061750001,14:31:32,27/1/2016,30,0,5.28,26,15.92
51.5031661987,0.0061983003,14:31:32,27/1/2016,29,12,6.17,40,15.92
51.5031661987,0.0062199997,14:31:34,27/1/2016,28,16,9.14,36,15.92
51.5031661987,0.0062450003,14:31:35,27/1/2016,28,34,28.93,116,15.92
51.5031585693,0.0062683,14:31:36,27/1/2016,28,17,26.62,121,15.92
51.5031585693,0.0062849998,14:31:36,27/1/2016,28,0,11.99,72,15.92
51.5031509399,0.0062915992,14:31:38,27/1/2016,28,9,20.6,143,15.43
51.5031509399,0.0062966003,14:31:39,27/1/2016,29,10,39.56,192,15.43
51.5031394958,0.0063066005,14:31:40,27/1/2016,28,12,30.12,242,15.43
51.503124237,0.0063183002,14:31:40,27/1/2016,28,2,14.38,75,15.43
51.5031166076,0.0063299999,14:31:42,27/1/2016,28,6,7.51,50,15.43
51.5031089782,0.0063432998,14:31:43,27/1/2016,27,1,4.98,30,15.43
51.5030937194,0.006355,14:31:44,27/1/2016,27,5,3.66,19,14.94
51.50308609,0.0063633003,14:31:44,27/1/2016,28,11,9.95,36,15.43
51.5030746459,0.0063782997,14:31:46,27/1/2016,28,3,6.22,34,15.43
51.5030670166,0.0063933,14:31:47,27/1/2016,28,12,12.69,112,15.43
51.5030517578,0.0064065999,14:31:48,27/1/2016,28,3,5.55,29,15.43
51.5030441284,0.0064183001,14:31:48,27/1/2016,28,7,3.28,17,15.43
51.5030288696,0.0064350004,14:31:50,27/1/2016,27,0,7.17,34,15.43
51.5030174255,0.0064516,14:31:51,27/1/2016,27,0,3.99,21,15.43
51.5030021667,0.0064650006,14:31:52,27/1/2016,28,3,3.42,28,15.43
51.5029945373,0.0064832997,14:31:52,27/1/2016,28,1,1.79,17,14.94
51.5029792785,0.0064983005,14:31:54,27/1/2016,27,2,1.1,18,14.94
51.5029716491,0.0065100002,14:31:55,27/1/2016,27,0,2.96,26,15.43
51.5029640197,0.006525001,14:31:56,27/1/2016,27,0,1.96,15,12.99
51.5029449462,0.0065400004,14:31:56,27/1/2016,27,4,0.84,13,14.94
51.5029373168,0.0065549998,14:31:58,27/1/2016,28,2,1.67,14,14.94
51.5029220581,0.0065733003,14:31:59,27/1/2016,28,5,2.32,16,14.94
51.5029067993,0.0065883007,14:32:0,27/1/2016,28,0,4.19,24,14.94
51.5028877258,0.0066033,14:32:0,27/1/2016,27,0,1.74,13,14.94
51.5028800964,0.0066166009,14:32:2,27/1/2016,27,0,3.37,17,15.43
51.502872467,0.0066282997,14:32:3,27/1/2016,27,0,1.59,22,14.94
51.5028648376,0.0066415996,14:32:4,27/1/2016,27,4,3.44,36,14.94
51.5028495788,0.0066533002,14:32:4,27/1/2016,27,0,2.51,21,15.43
51.5028419494,0.0066650004,14:32:6,27/1/2016,28,0,9.56,40,14.94
51.5028305053,0.0066765999,14:32:7,27/1/2016,28,3,7.06,30,14.94
51.5028228759,0.0066865992,14:32:8,27/1/2016,28,0,3.28,27,14.94
51.5028152465,0.0066983008,14:32:8,27/1/2016,28,0,3.72,31,14.94
51.5028076171,0.0067133002,14:32:10,27/1/2016,28,3,2.03,24,14.94
51.5027923583,0.0067283005,14:32:11,27/1/2016,28,0,2.66,30,14.94
51.502784729,0.0067416,14:32:12,27/1/2016,28,25,3.22,44,14.94
51.5027732849,0.0067533006,14:32:12,27/1/2016,28,0,9.53,92,14.94
51.5027580261,0.0067649993,14:32:14,27/1/2016,28,2,7.92,51,14.94
51.5027503967,0.0067716002,14:32:15,27/1/2016,28,9,7.38,114,14.94
51.5027351379,0.0067799997,14:32:16,27/1/2016,28,0,7.69,56,14.94
51.5027275085,0.0067883005,14:32:16,27/1/2016,28,5,2.16,18,14.94
51.5027198791,0.0068015999,14:32:18,27/1/2016,28,4,2,21,14.94
51.5027008056,0.0068199996,14:32:19,27/1/2016,28,5,1.45,14,14.45
51.5026931762,0.0068333001,14:32:20,27/1/2016,28,8,3.28,30,14.45
51.5026855468,0.0068450002,14:32:20,27/1/2016,28,4,1.84,16,14.94
51.5026779174,0.0068550004,14:32:22,27/1/2016,28,8,7.79,46,14.94
51.502670288,0.006866599,14:32:23,27/1/2016,28,9,3.99,26,14.94
51.5026626586,0.0068782997,14:32:24,27/1/2016,28,0,8.76,99,14.94
51.5026435852,0.0068933005,14:32:24,27/1/2016,28,0,3.71,18,14.94
51.5026359558,0.0069082999,14:32:26,27/1/2016,28,5,4.8,28,14.94
51.5026283264,0.0069216003,14:32:27,27/1/2016,28,44,6.44,77,14.94
51.5026130676,0.0069333004,14:32:28,27/1/2016,29,30,8.5,122,14.94
51.5026054382,0.0069400005,14:32:28,27/1/2016,28,6,4.24,28,14.94
51.5025978088,0.0069516,14:32:30,27/1/2016,28,21,7.42,50,14.94
51.5025787353,0.0069683003,14:32:31,27/1/2016,28,17,9.16,54,14.94
51.5025711059,0.0069783,14:32:32,27/1/2016,28,14,7.95,50,14.94
51.5025558471,0.0069916009,14:32:32,27/1/2016,28,15,10.25,116,14.94
51.5025482177,0.0070033006,14:32:34,27/1/2016,28,1,10.33,70,14.45
51.5025405883,0.0070165996,14:32:35,27/1/2016,28,2,3.18,28,14.45
51.5025291442,0.0070282993,14:32:36,27/1/2016,28,3,3.05,28,10.55
51.5025138854,0.0070400004,14:32:36,27/1/2016,28,11,8.87,50,14.94
51.5025062561,0.0070532999,14:32:38,27/1/2016,29,0,14.73,104,14.94
51.5024909973,0.0070633001,14:32:39,27/1/2016,29,9,22.25,161,14.94
51.5024833679,0.0070749998,14:32:40,27/1/2016,29,4,9.6,44,14.94
51.5024757385,0.0070883007,14:32:40,27/1/2016,29,2,3.54,24,14.94
51.502456665,0.0071016006,14:32:42,27/1/2016,29,7,4.28,33,14.94
51.5024414062,0.0071150007,14:32:43,27/1/2016,29,4,5.26,30,14.94
51.5024261474,0.007125,14:32:44,27/1/2016,29,2,3.73,36,14.94
51.502418518,0.0071350007,14:32:44,27/1/2016,28,4,2.66,18,14.94
51.5024070739,0.0071483001,14:32:46,27/1/2016,29,3,4.62,29,14.45
51.5023918151,0.0071583003,14:32:47,27/1/2016,29,0,2.73,15,14.45
51.5023841857,0.0071666002,14:32:48,27/1/2016,28,13,4.67,20,14.94
51.502368927,0.0071716003,14:32:48,27/1/2016,28,2,4.69,23,14.45
51.5023612976,0.0071850004,14:32:50,27/1/2016,28,12,7.07,39,14.45
51.5023422241,0.0071965999,14:32:51,27/1/2016,28,10,2.94,19,14.45
51.5023345947,0.0072050004,14:32:52,27/1/2016,28,3,4.95,31,14.45
51.5023269653,0.0072100009,14:32:52,27/1/2016,28,6,2.44,17,14.94
51.5023193359,0.0072183008,14:32:54,27/1/2016,29,10,5.05,35,14.45
51.5023040771,0.0072300004,14:32:55,27/1/2016,29,0,3.61,22,14.45
51.5022964477,0.0072449994,14:32:56,27/1/2016,28,0,3.75,20,14.94
51.5022850036,0.0072550005,14:32:56,27/1/2016,28,9,3.01,26,14.45
51.5022697448,0.0072650003,14:32:58,27/1/2016,29,8,4.43,25,14.45
51.5022621154,0.007275,14:32:59,27/1/2016,28,1,5.07,30,14.45
51.502254486,0.0072899999,14:33:0,27/1/2016,28,15,5.73,30,14.45
51.5022468566,0.0073000001,14:33:0,27/1/2016,28,0,5.08,23,14.45
51.5022315979,0.0073082995,14:33:2,27/1/2016,28,15,7.78,35,14.45
51.5022201538,0.0073183007,14:33:3,27/1/2016,28,1,4.43,21,14.45
51.5022125244,0.0073316006,14:33:4,27/1/2016,28,4,16.6,98,14.45
51.502204895,0.0073449997,14:33:4,27/1/2016,28,17,20.51,116,14.45
51.5021896362,0.0073600006,14:33:6,27/1/2016,29,17,15.72,81,13.96
51.5021820068,0.0073733,14:33:7,27/1/2016,29,5,7.18,43,14.45
51.5021743774,0.0073816003,14:33:8,27/1/2016,29,10,13.12,83,14.45
51.5021629333,0.0073933,14:33:8,27/1/2016,29,6,17.87,116,14.45
51.5021553039,0.0074115996,14:33:10,27/1/2016,29,11,11.38,45,14.45
51.5021476745,0.0074250006,14:33:11,27/1/2016,29,8,8.37,34,14.45
51.5021400451,0.00744,14:33:12,27/1/2016,29,18,16.24,47,14.45
51.5021247863,0.0074550004,14:33:12,27/1/2016,29,9,13.41,46,14.45
51.5021095275,0.0074665999,14:33:14,27/1/2016,30,16,13.49,55,14.45
51.5020980834,0.0074833006,14:33:15,27/1/2016,32,12,13.1,78,14.45
51.5020904541,0.0074983,14:33:16,27/1/2016,35,1,18.59,76,14.45
51.5020828247,0.0075050001,14:33:16,27/1/2016,36,7,9.6,47,14.45
51.5020675659,0.0075132999,14:33:18,27/1/2016,36,15,12.24,46,14.45
51.5020675659,0.0075232992,14:33:19,27/1/2016,39,15,21.48,60,14.45
51.5020599365,0.0075300006,14:33:20,27/1/2016,38,21,17.98,53,13.96
51.502040863,0.0075365996,14:33:20,27/1/2016,37,17,26.35,87,13.96
51.5020332336,0.007545,14:33:22,27/1/2016,36,20,26.85,90,13.96
51.5020256042,0.0075616002,14:33:23,27/1/2016,35,19,24.96,69,11.52
51.5020179748,0.0075766,14:33:24,27/1/2016,35,9,15.14,73,13.96
51.5020103454,0.0075915999,14:33:24,27/1/2016,34,13,9.85,54,13.96
51.502002716,0.0076083002,14:33:26,27/1/2016,32,7,14.73,51,13.96
51.5019874572,0.0076216006,14:33:27,27/1/2016,31,7,12.72,39,13.96
51.5019760131,0.0076300001,14:33:28,27/1/2016,29,14,8.27,35,13.96
51.5019683837,0.0076450004,14:33:28,27/1/2016,29,18,14.43,40,13.96
51.5019607543,0.0076616001,14:33:30,27/1/2016,29,3,8.97,39,13.96
51.5019454956,0.0076750001,14:33:31,27/1/2016,29,16,7.27,40,13.96
51.5019378662,0.0076849994,14:33:32,27/1/2016,29,18,24.45,77,13.96
51.5019302368,0.0077000007,14:33:32,27/1/2016,29,35,27.78,99,13.96
51.5019111633,0.0077150001,14:33:34,27/1/2016,29,37,26.08,67,13.96
51.5018959045,0.0077300004,14:33:35,27/1/2016,29,20,23.6,72,13.96
51.5018882751,0.0077433004,14:33:36,27/1/2016,29,30,24.33,78,13.96
51.5018806457,0.0077583003,14:33:36,27/1/2016,28,30,20.63,71,13.96
51.5018653869,0.0077716007,14:33:38,27/1/2016,28,22,15.45,49,10.55
51.5018539428,0.0077833003,14:33:39,27/1/2016,27,12,17.29,59,13.96
51.5018463134,0.0077966003,14:33:40,27/1/2016,27,10,9.17,49,13.96
51.5018310546,0.0078115997,14:33:40,27/1/2016,29,12,17.07,54,13.96
51.5018234252,0.0078266,14:33:42,27/1/2016,30,38,15.76,72,13.96
51.5018157958,0.0078416004,14:33:43,27/1/2016,28,40,39.61,112,13.96
51.5018081665,0.0078549995,14:33:44,27/1/2016,27,54,41.01,103,13.96
51.5017967224,0.0078650002,14:33:44,27/1/2016,27,22,32.2,87,13.96
51.501789093,0.0078816003,14:33:46,27/1/2016,27,33,41.61,113,13.96
51.501789093,0.0078983001,14:33:47,27/1/2016,27,27,43.98,118,13.96
51.5017814636,0.0079166002,14:33:48,27/1/2016,27,5,28.04,77,13.96
51.5017814636,0.0079333,14:33:48,27/1/2016,27,10,15.06,74,13.96
51.5017738342,0.0079500007,14:33:50,27/1/2016,27,23,16.24,70,13.96
51.5017662048,0.0079666004,14:33:51,27/1/2016,27,12,14.81,54,13.96
51.501750946,0.0079850006,14:33:52,27/1/2016,27,22,32.79,223,13.96
51.5017433166,0.0080000009,14:33:52,27/1/2016,27,40,41.32,186,13.96
51.5017318725,0.0080166006,14:33:54,27/1/2016,26,10,12.37,95,13.96
51.5017242431,0.0080333003,14:33:55,27/1/2016,27,4,4.1,24,13.96
51.5017089843,0.0080466003,14:33:56,27/1/2016,27,5,4.1,47,13.96
51.5016937255,0.0080599994,14:33:56,27/1/2016,27,16,5.73,67,13.96
51.5016860961,0.0080716009,14:33:58,27/1/2016,27,5,11.05,131,13.48
51.5016670227,0.0080799999,14:33:59,27/1/2016,27,22,37.22,182,13.48
51.5016593933,0.0080866003,14:34:0,27/1/2016,27,10,8.42,37,13.48
51.5016517639,0.0080916004,14:34:0,27/1/2016,27,31,17.58,90,13.48
51.5016441345,0.0080965995,14:34:2,27/1/2016,27,8,19.48,164,13.48
51.5016288757,0.0081000003,14:34:3,27/1/2016,27,8,11.32,46,13.48
51.5016212463,0.0081033,14:34:4,27/1/2016,27,61,9.78,75,13.48
51.5016098022,0.0081000003,14:34:4,27/1/2016,27,23,17.65,106,13.48
51.5016021728,0.0081033,14:34:6,27/1/2016,27,12,17.3,173,13.48
51.5015945434,0.0081066007,14:34:7,27/1/2016,27,102,30.19,237,13.48
51.501586914,0.0081115999,14:34:8,27/1/2016,27,60,35.42,118,13.48
51.5015716552,0.0081166,14:34:8,27/1/2016,27,19,11.84,72,13.48
51.5015640258,0.0081200008,14:34:10,27/1/2016,27,15,14.85,66,10.55
51.5015525817,0.0081250009,14:34:11,27/1/2016,27,17,28.37,160,13.48
51.5015373229,0.0081350002,14:34:12,27/1/2016,28,6,17.14,129,13.48
51.5015296936,0.0081449995,14:34:12,27/1/2016,27,17,9.3,59,13.48
51.5015220642,0.0081566009,14:34:14,27/1/2016,28,2,27.96,160,13.48
51.5015144348,0.0081666002,14:34:15,27/1/2016,28,3,19.47,116,13.48
51.501499176,0.0081732997,14:34:16,27/1/2016,28,10,13.4,76,13.48
51.5014877319,0.0081800003,14:34:16,27/1/2016,27,13,7.97,45,13.48
51.5014724731,0.008188301,14:34:18,27/1/2016,27,4,13.05,125,13.48
51.5014648437,0.0081966009,14:34:19,27/1/2016,28,72,74.2,328,13.48
51.5014648437,0.0082049999,14:34:20,27/1/2016,28,18,27.05,128,13.48
51.5014572143,0.0082166004,14:34:20,27/1/2016,28,1,19.27,109,13.48
51.5014495849,0.0082300004,14:34:22,27/1/2016,28,68,45.11,333,12.99
51.5014305114,0.0082350006,14:34:23,27/1/2016,28,35,37.94,225,12.99
51.501422882,0.0082416,14:34:24,27/1/2016,28,10,21.16,136,12.99
51.5014076232,0.008249999,14:34:24,27/1/2016,28,17,12.94,99,12.99
51.5013999938,0.0082600002,14:34:26,27/1/2016,28,7,62.25,421,12.99
51.5013923645,0.0082700004,14:34:27,27/1/2016,28,11,18.86,98,12.99
51.5013847351,0.0082833003,14:34:28,27/1/2016,28,2,11.09,95,12.99
51.5013656616,0.0082916011,14:34:28,27/1/2016,28,29,33.25,303,12.99
51.5013580322,0.0083000001,14:34:30,27/1/2016,28,10,22.63,141,12.99
51.5013504028,0.0083083,14:34:31,27/1/2016,28,2,7.11,36,12.99
51.501335144,0.0083132991,14:34:32,27/1/2016,28,5,5.5,29,12.99
51.5013275146,0.0083199996,14:34:32,27/1/2016,28,4,7.41,66,12.99
51.5013084411,0.0083300008,14:34:34,27/1/2016,28,7,5.42,38,12.99
51.5013008117,0.0083383007,14:34:35,27/1/2016,28,9,18.53,94,12.99
51.5012931823,0.0083516006,14:34:36,27/1/2016,28,11,7.25,51,12.99
51.5012855529,0.0083633003,14:34:36,27/1/2016,28,13,13.69,94,12.99
51.5012779235,0.0083716001,14:34:38,27/1/2016,28,18,4.76,38,12.99
51.5012702941,0.008380001,14:34:39,27/1/2016,29,10,14.54,107,12.99
51.5012626647,0.008393301,14:34:40,27/1/2016,29,6,8.13,74,12.99
51.5012550354,0.0083999996,14:34:40,27/1/2016,29,62,52.82,292,12.99
51.5012359619,0.0084065999,14:34:42,27/1/2016,28,7,24.39,100,12.99
51.5012283325,0.0084165992,14:34:43,27/1/2016,29,3,35.91,188,12.99
