id,centre-latitude,centre-longitude,type,properties-value
0,38.252632,21.725529,point,0.0
0,38.252632,21.725742,point,0.0
0,38.252632,21.725956,point,0.0
0,38.252632,21.726171,point,0.0
0,38.252632,21.726385,point,0.0
0,38.252632,21.726603,point,0.0
0,38.252632,21.726816,point,0.0
0,38.252632,21.72703,point,0.0
0,38.252632,21.727245,point,0.0
0,38.252632,21.727459,point,0.0
0,38.252632,21.727673,point,0.0
0,38.252632,21.727888,point,0.0
0,38.252632,21.728102,point,0.0
0,38.252632,21.728315,point,0.0
0,38.252632,21.728533,point,0.0
0,38.252632,21.728746,point,0.0
0,38.252632,21.72896,point,0.0
0,38.252632,21.729176,point,0.0
0,38.252632,21.72939,point,0.0
0,38.252632,21.729603,point,0.0
0,38.252632,21.72982,point,0.0
0,38.252632,21.730036,point,0.0
0,38.252632,21.730247,point,0.0
0,38.252632,21.730463,point,0.0
0,38.252632,21.730679,point,0.0
0,38.252632,21.730892,point,0.0
0,38.252632,21.731106,point,0.0
0,38.252632,21.731323,point,0.0
0,38.252632,21.731537,point,0.0
0,38.252632,21.73175,point,0.0
0,38.252632,21.731966,point,0.0
0,38.252632,21.73218,point,0.0
0,38.252632,21.732393,point,0.0
0,38.252632,21.73261,point,0.0
0,38.252632,21.732824,point,0.0
0,38.252632,21.733038,point,0.0
0,38.252632,21.733253,point,0.0
0,38.252632,21.733467,point,0.0
0,38.252632,21.73368,point,0.0
0,38.252632,21.733896,point,0.0
0,38.252632,21.73411,point,0.0
0,38.252632,21.734327,point,0.0
0,38.252632,21.73454,point,0.0
0,38.252632,21.734755,point,0.0
0,38.252632,21.73497,point,0.0
0,38.252632,21.735184,point,0.0
0,38.252632,21.735397,point,0.0
0,38.252632,21.735615,point,0.0
0,38.252632,21.735828,point,0.0
0,38.252632,21.736042,point,0.0
0,38.252632,21.736258,point,0.0
0,38.252632,21.736471,point,0.0
0,38.252632,21.736685,point,0.0
0,38.252632,21.7369,point,0.0
0,38.252632,21.737114,point,0.0
0,38.252632,21.737328,point,0.0
0,38.252632,21.737545,point,0.0
0,38.252632,21.737759,point,0.0
0,38.252632,21.737972,point,0.0
0,38.252632,21.738188,point,0.0
0,38.252632,21.738401,point,0.0
0,38.252632,21.738615,point,0.0
0,38.252632,21.738832,point,0.0
0,38.252632,21.739046,point,0.0
0,38.252632,21.739262,point,0.0
0,38.252632,21.739475,point,0.0
0,38.252632,21.739689,point,0.0
0,38.252632,21.739904,point,0.0
0,38.252632,21.740118,point,0.0
0,38.252632,21.740332,point,0.0
0,38.252632,21.74055,point,0.0
0,38.252632,21.740763,point,0.0
0,38.252632,21.740976,point,0.0
0,38.252632,21.741192,point,0.0
0,38.252632,21.741405,point,0.0
0,38.252632,21.74162,point,0.0
0,38.252632,21.741837,point,0.0
0,38.252632,21.74205,point,0.0
0,38.252632,21.742264,point,0.0
0,38.252632,21.74248,point,0.0
0,38.252453,21.725529,point,0.0
0,38.252453,21.725742,point,0.0
0,38.252453,21.725956,point,0.0
0,38.252453,21.726171,point,0.0
0,38.252453,21.726385,point,0.0
0,38.252453,21.726603,point,0.0
0,38.252453,21.726816,point,0.0
0,38.252453,21.72703,point,0.0
0,38.252453,21.727245,point,0.0
0,38.252453,21.727459,point,0.0
0,38.252453,21.727673,point,0.0
0,38.252453,21.727888,point,0.0
0,38.252453,21.728102,point,0.0
0,38.252453,21.728315,point,0.0
0,38.252453,21.728533,point,0.0
0,38.252453,21.728746,point,0.0
0,38.252453,21.72896,point,0.0
0,38.252453,21.729176,point,0.0
0,38.252453,21.72939,point,0.0
0,38.252453,21.729603,point,0.0
0,38.252453,21.72982,point,0.0
0,38.252453,21.730036,point,0.0
0,38.252453,21.730247,point,0.0
0,38.252453,21.730463,point,0.0
0,38.252453,21.730679,point,0.0
0,38.252453,21.730892,point,0.0
0,38.252453,21.731106,point,0.0
0,38.252453,21.731323,point,0.0
0,38.252453,21.731537,point,0.0
0,38.252453,21.73175,point,0.0
0,38.252453,21.731966,point,0.0
0,38.252453,21.73218,point,0.0
0,38.252453,21.732393,point,0.0
0,38.252453,21.73261,point,0.0
0,38.252453,21.732824,point,0.0
0,38.252453,21.733038,point,0.0
0,38.252453,21.733253,point,0.0
0,38.252453,21.733467,point,0.0
0,38.252453,21.73368,point,0.0
0,38.252453,21.733896,point,0.0
0,38.252453,21.73411,point,0.0
0,38.252453,21.734327,point,0.0
0,38.252453,21.73454,point,0.0
0,38.252453,21.734755,point,0.0
0,38.252453,21.73497,point,0.0
0,38.252453,21.735184,point,0.0
0,38.252453,21.735397,point,0.0
0,38.252453,21.735615,point,0.0
0,38.252453,21.735828,point,0.0
0,38.252453,21.736042,point,0.0
0,38.252453,21.736258,point,0.0
0,38.252453,21.736471,point,0.0
0,38.252453,21.736685,point,0.0
0,38.252453,21.7369,point,0.0
0,38.252453,21.737114,point,0.0
0,38.252453,21.737328,point,0.0
0,38.252453,21.737545,point,0.0
0,38.252453,21.737759,point,0.0
0,38.252453,21.737972,point,0.0
0,38.252453,21.738188,point,0.0
0,38.252453,21.738401,point,0.0
0,38.252453,21.738615,point,0.0
0,38.252453,21.738832,point,0.0
0,38.252453,21.739046,point,0.0
0,38.252453,21.739262,point,0.0
0,38.252453,21.739475,point,0.0
0,38.252453,21.739689,point,0.0
0,38.252453,21.739904,point,0.0
0,38.252453,21.740118,point,0.0
0,38.252453,21.740332,point,0.0
0,38.252453,21.74055,point,0.0
0,38.252453,21.740763,point,0.0
0,38.252453,21.740976,point,0.0
0,38.252453,21.741192,point,0.0
0,38.252453,21.741405,point,0.0
0,38.252453,21.74162,point,0.0
0,38.252453,21.741837,point,0.0
0,38.252453,21.74205,point,0.0
0,38.252453,21.742264,point,0.0
0,38.252453,21.74248,point,0.0
0,38.25229,21.725529,point,0.0
0,38.25229,21.725742,point,0.0
0,38.25229,21.725956,point,0.0
0,38.25229,21.726171,point,0.0
0,38.25229,21.726385,point,0.0
0,38.25229,21.726603,point,0.0
0,38.25229,21.726816,point,0.0
0,38.25229,21.72703,point,0.0
0,38.25229,21.727245,point,0.0
0,38.25229,21.727459,point,0.0
0,38.25229,21.727673,point,0.0
0,38.25229,21.727888,point,0.0
0,38.25229,21.728102,point,0.0
0,38.25229,21.728315,point,0.0
0,38.25229,21.728533,point,0.0
0,38.25229,21.728746,point,0.0
0,38.25229,21.72896,point,0.0
0,38.25229,21.729176,point,0.0
0,38.25229,21.72939,point,0.0
0,38.25229,21.729603,point,0.0
0,38.25229,21.72982,point,0.0
0,38.25229,21.730036,point,0.0
0,38.25229,21.730247,point,0.0
0,38.25229,21.730463,point,0.0
0,38.25229,21.730679,point,0.0
0,38.25229,21.730892,point,0.0
0,38.25229,21.731106,point,0.0
0,38.25229,21.731323,point,0.0
0,38.25229,21.731537,point,0.0
0,38.25229,21.73175,point,0.0
0,38.25229,21.731966,point,0.0
0,38.25229,21.73218,point,0.0
0,38.25229,21.732393,point,0.0
0,38.25229,21.73261,point,0.0
0,38.25229,21.732824,point,0.0
0,38.25229,21.733038,point,0.0
0,38.25229,21.733253,point,0.0
0,38.25229,21.733467,point,0.0
0,38.25229,21.73368,point,0.0
0,38.25229,21.733896,point,0.0
0,38.25229,21.73411,point,0.0
0,38.25229,21.734327,point,0.0
0,38.25229,21.73454,point,0.0
0,38.25229,21.734755,point,0.0
0,38.25229,21.73497,point,0.0
0,38.25229,21.735184,point,0.0
0,38.25229,21.735397,point,0.0
0,38.25229,21.735615,point,0.0
0,38.25229,21.735828,point,0.0
0,38.25229,21.736042,point,0.0
0,38.25229,21.736258,point,0.0
0,38.25229,21.736471,point,0.0
0,38.25229,21.736685,point,0.0
0,38.25229,21.7369,point,0.0
0,38.25229,21.737114,point,0.0
0,38.25229,21.737328,point,0.0
0,38.25229,21.737545,point,0.0
0,38.25229,21.737759,point,0.0
0,38.25229,21.737972,point,0.0
0,38.25229,21.738188,point,0.0
0,38.25229,21.738401,point,0.0
0,38.25229,21.738615,point,0.0
0,38.25229,21.738832,point,0.0
0,38.25229,21.739046,point,0.0
0,38.25229,21.739262,point,0.0
0,38.25229,21.739475,point,0.0
0,38.25229,21.739689,point,0.0
0,38.25229,21.739904,point,0.0
0,38.25229,21.740118,point,0.0
0,38.25229,21.740332,point,0.0
0,38.25229,21.74055,point,0.0
0,38.25229,21.740763,point,0.0
0,38.25229,21.740976,point,0.0
0,38.25229,21.741192,point,0.0
0,38.25229,21.741405,point,0.0
0,38.25229,21.74162,point,0.0
0,38.25229,21.741837,point,0.0
0,38.25229,21.74205,point,0.0
0,38.25229,21.742264,point,0.0
0,38.25229,21.74248,point,0.0
0,38.252125,21.725529,point,0.0
0,38.252125,21.725742,point,0.0
0,38.252125,21.725956,point,0.0
0,38.252125,21.726171,point,0.0
0,38.252125,21.726385,point,0.0
0,38.252125,21.726603,point,0.0
0,38.252125,21.726816,point,0.0
0,38.252125,21.72703,point,0.0
0,38.252125,21.727245,point,0.0
0,38.252125,21.727459,point,0.0
0,38.252125,21.727673,point,0.0
0,38.252125,21.727888,point,0.0
0,38.252125,21.728102,point,0.0
0,38.252125,21.728315,point,0.0
0,38.252125,21.728533,point,0.0
0,38.252125,21.728746,point,0.0
0,38.252125,21.72896,point,0.0
0,38.252125,21.729176,point,0.0
0,38.252125,21.72939,point,0.0
0,38.252125,21.729603,point,0.0
0,38.252125,21.72982,point,0.0
0,38.252125,21.730036,point,0.0
0,38.252125,21.730247,point,0.0
0,38.252125,21.730463,point,0.0
0,38.252125,21.730679,point,0.0
0,38.252125,21.730892,point,0.0
0,38.252125,21.731106,point,0.0
0,38.252125,21.731323,point,0.0
0,38.252125,21.731537,point,0.0
0,38.252125,21.73175,point,0.0
0,38.252125,21.731966,point,0.0
0,38.252125,21.73218,point,0.0
0,38.252125,21.732393,point,0.0
0,38.252125,21.73261,point,0.0
0,38.252125,21.732824,point,0.0
0,38.252125,21.733038,point,0.0
0,38.252125,21.733253,point,0.0
0,38.252125,21.733467,point,0.0
0,38.252125,21.73368,point,0.0
0,38.252125,21.733896,point,0.0
0,38.252125,21.73411,point,0.0
0,38.252125,21.734327,point,0.0
0,38.252125,21.73454,point,0.0
0,38.252125,21.734755,point,0.0
0,38.252125,21.73497,point,0.0
0,38.252125,21.735184,point,0.0
0,38.252125,21.735397,point,0.0
0,38.252125,21.735615,point,0.0
0,38.252125,21.735828,point,0.0
0,38.252125,21.736042,point,0.0
0,38.252125,21.736258,point,0.0
0,38.252125,21.736471,point,0.0
0,38.252125,21.736685,point,0.0
0,38.252125,21.7369,point,0.0
0,38.252125,21.737114,point,0.0
0,38.252125,21.737328,point,0.0
0,38.252125,21.737545,point,0.0
0,38.252125,21.737759,point,0.0
0,38.252125,21.737972,point,0.0
0,38.252125,21.738188,point,0.0
0,38.252125,21.738401,point,0.0
0,38.252125,21.738615,point,0.0
0,38.252125,21.738832,point,0.0
0,38.252125,21.739046,point,0.0
0,38.252125,21.739262,point,0.0
0,38.252125,21.739475,point,0.0
0,38.252125,21.739689,point,0.0
0,38.252125,21.739904,point,0.0
0,38.252125,21.740118,point,0.0
0,38.252125,21.740332,point,0.0
0,38.252125,21.74055,point,0.0
0,38.252125,21.740763,point,0.0
0,38.252125,21.740976,point,0.0
0,38.252125,21.741192,point,0.0
0,38.252125,21.741405,point,0.0
0,38.252125,21.74162,point,0.0
0,38.252125,21.741837,point,0.0
0,38.252125,21.74205,point,0.0
0,38.252125,21.742264,point,0.0
0,38.252125,21.74248,point,0.0
0,38.25195,21.725529,point,0.0
0,38.25195,21.725742,point,0.0
0,38.25195,21.725956,point,0.0
0,38.25195,21.726171,point,0.0
0,38.25195,21.726385,point,0.0
0,38.25195,21.726603,point,0.0
0,38.25195,21.726816,point,0.0
0,38.25195,21.72703,point,0.0
0,38.25195,21.727245,point,0.0
0,38.25195,21.727459,point,0.0
0,38.25195,21.727673,point,0.0
0,38.25195,21.727888,point,0.0
0,38.25195,21.728102,point,0.0
0,38.25195,21.728315,point,0.0
0,38.25195,21.728533,point,0.0
0,38.25195,21.728746,point,0.0
0,38.25195,21.72896,point,0.0
0,38.25195,21.729176,point,0.0
0,38.25195,21.72939,point,0.0
0,38.25195,21.729603,point,0.0
0,38.25195,21.72982,point,0.0
0,38.25195,21.730036,point,0.0
0,38.25195,21.730247,point,0.0
0,38.25195,21.730463,point,0.0
0,38.25195,21.730679,point,0.0
0,38.25195,21.730892,point,0.0
0,38.25195,21.731106,point,0.0
0,38.25195,21.731323,point,0.0
0,38.25195,21.731537,point,0.0
0,38.25195,21.73175,point,0.0
0,38.25195,21.731966,point,0.0
0,38.25195,21.73218,point,0.0
0,38.25195,21.732393,point,0.0
0,38.25195,21.73261,point,0.0
0,38.25195,21.732824,point,0.0
0,38.25195,21.733038,point,0.0
0,38.25195,21.733253,point,0.0
0,38.25195,21.733467,point,0.0
0,38.25195,21.73368,point,0.0
0,38.25195,21.733896,point,0.0
0,38.25195,21.73411,point,0.0
0,38.25195,21.734327,point,0.0
0,38.25195,21.73454,point,0.0
0,38.25195,21.734755,point,0.0
0,38.25195,21.73497,point,0.0
0,38.25195,21.735184,point,0.0
0,38.25195,21.735397,point,0.0
0,38.25195,21.735615,point,0.0
0,38.25195,21.735828,point,0.0
0,38.25195,21.736042,point,0.0
0,38.25195,21.736258,point,0.0
0,38.25195,21.736471,point,0.0
0,38.25195,21.736685,point,0.0
0,38.25195,21.7369,point,0.0
0,38.25195,21.737114,point,0.0
0,38.25195,21.737328,point,0.0
0,38.25195,21.737545,point,0.0
0,38.25195,21.737759,point,0.0
0,38.25195,21.737972,point,0.0
0,38.25195,21.738188,point,0.0
0,38.25195,21.738401,point,0.0
0,38.25195,21.738615,point,0.0
0,38.25195,21.738832,point,0.0
0,38.25195,21.739046,point,0.0
0,38.25195,21.739262,point,0.0
0,38.25195,21.739475,point,0.0
0,38.25195,21.739689,point,0.0
0,38.25195,21.739904,point,0.0
0,38.25195,21.740118,point,0.0
0,38.25195,21.740332,point,0.0
0,38.25195,21.74055,point,0.0
0,38.25195,21.740763,point,0.0
0,38.25195,21.740976,point,0.0
0,38.25195,21.741192,point,0.0
0,38.25195,21.741405,point,0.0
0,38.25195,21.74162,point,0.0
0,38.25195,21.741837,point,0.0
0,38.25195,21.74205,point,0.0
0,38.25195,21.742264,point,0.0
0,38.25195,21.74248,point,0.0
0,38.25178,21.725529,point,0.0
0,38.25178,21.725742,point,0.0
0,38.25178,21.725956,point,0.0
0,38.25178,21.726171,point,0.0
0,38.25178,21.726385,point,0.0
0,38.25178,21.726603,point,0.0
0,38.25178,21.726816,point,0.0
0,38.25178,21.72703,point,0.0
0,38.25178,21.727245,point,0.0
0,38.25178,21.727459,point,0.0
0,38.25178,21.727673,point,0.0
0,38.25178,21.727888,point,0.0
0,38.25178,21.728102,point,0.0
0,38.25178,21.728315,point,0.0
0,38.25178,21.728533,point,0.0
0,38.25178,21.728746,point,0.0
0,38.25178,21.72896,point,0.0
0,38.25178,21.729176,point,0.0
0,38.25178,21.72939,point,0.0
0,38.25178,21.729603,point,0.0
0,38.25178,21.72982,point,0.0
0,38.25178,21.730036,point,0.0
0,38.25178,21.730247,point,0.0
0,38.25178,21.730463,point,0.0
0,38.25178,21.730679,point,0.0
0,38.25178,21.730892,point,0.0
0,38.25178,21.731106,point,0.0
0,38.25178,21.731323,point,0.0
0,38.25178,21.731537,point,0.0
0,38.25178,21.73175,point,0.0
0,38.25178,21.731966,point,0.0
0,38.25178,21.73218,point,0.0
0,38.25178,21.732393,point,0.0
0,38.25178,21.73261,point,0.0
0,38.25178,21.732824,point,0.0
0,38.25178,21.733038,point,0.0
0,38.25178,21.733253,point,0.0
0,38.25178,21.733467,point,0.0
0,38.25178,21.73368,point,0.0
0,38.25178,21.733896,point,0.0
0,38.25178,21.73411,point,0.0
0,38.25178,21.734327,point,0.0
0,38.25178,21.73454,point,0.0
0,38.25178,21.734755,point,0.0
0,38.25178,21.73497,point,0.0
0,38.25178,21.735184,point,0.0
0,38.25178,21.735397,point,0.0
0,38.25178,21.735615,point,0.0
0,38.25178,21.735828,point,0.0
0,38.25178,21.736042,point,0.0
0,38.25178,21.736258,point,0.0
0,38.25178,21.736471,point,57.080048
0,38.25178,21.736685,point,0.0
0,38.25178,21.7369,point,0.0
0,38.25178,21.737114,point,0.0
0,38.25178,21.737328,point,0.0
0,38.25178,21.737545,point,0.0
0,38.25178,21.737759,point,0.0
0,38.25178,21.737972,point,0.0
0,38.25178,21.738188,point,0.0
0,38.25178,21.738401,point,0.0
0,38.25178,21.738615,point,0.0
0,38.25178,21.738832,point,0.0
0,38.25178,21.739046,point,0.0
0,38.25178,21.739262,point,0.0
0,38.25178,21.739475,point,0.0
0,38.25178,21.739689,point,0.0
0,38.25178,21.739904,point,0.0
0,38.25178,21.740118,point,0.0
0,38.25178,21.740332,point,0.0
0,38.25178,21.74055,point,0.0
0,38.25178,21.740763,point,0.0
0,38.25178,21.740976,point,0.0
0,38.25178,21.741192,point,0.0
0,38.25178,21.741405,point,0.0
0,38.25178,21.74162,point,0.0
0,38.25178,21.741837,point,0.0
0,38.25178,21.74205,point,0.0
0,38.25178,21.742264,point,0.0
0,38.25178,21.74248,point,0.0
0,38.25162,21.725529,point,0.0
0,38.25162,21.725742,point,0.0
0,38.25162,21.725956,point,0.0
0,38.25162,21.726171,point,0.0
0,38.25162,21.726385,point,0.0
0,38.25162,21.726603,point,0.0
0,38.25162,21.726816,point,0.0
0,38.25162,21.72703,point,0.0
0,38.25162,21.727245,point,0.0
0,38.25162,21.727459,point,0.0
0,38.25162,21.727673,point,0.0
0,38.25162,21.727888,point,0.0
0,38.25162,21.728102,point,0.0
0,38.25162,21.728315,point,0.0
0,38.25162,21.728533,point,0.0
0,38.25162,21.728746,point,0.0
0,38.25162,21.72896,point,0.0
0,38.25162,21.729176,point,0.0
0,38.25162,21.72939,point,0.0
0,38.25162,21.729603,point,0.0
0,38.25162,21.72982,point,0.0
0,38.25162,21.730036,point,0.0
0,38.25162,21.730247,point,0.0
0,38.25162,21.730463,point,0.0
0,38.25162,21.730679,point,0.0
0,38.25162,21.730892,point,0.0
0,38.25162,21.731106,point,0.0
0,38.25162,21.731323,point,0.0
0,38.25162,21.731537,point,0.0
0,38.25162,21.73175,point,0.0
0,38.25162,21.731966,point,0.0
0,38.25162,21.73218,point,0.0
0,38.25162,21.732393,point,0.0
0,38.25162,21.73261,point,0.0
0,38.25162,21.732824,point,0.0
0,38.25162,21.733038,point,0.0
0,38.25162,21.733253,point,0.0
0,38.25162,21.733467,point,0.0
0,38.25162,21.73368,point,0.0
0,38.25162,21.733896,point,0.0
0,38.25162,21.73411,point,0.0
0,38.25162,21.734327,point,0.0
0,38.25162,21.73454,point,0.0
0,38.25162,21.734755,point,0.0
0,38.25162,21.73497,point,0.0
0,38.25162,21.735184,point,0.0
0,38.25162,21.735397,point,0.0
0,38.25162,21.735615,point,0.0
0,38.25162,21.735828,point,0.0
0,38.25162,21.736042,point,0.0
0,38.25162,21.736258,point,0.0
0,38.25162,21.736471,point,0.0
0,38.25162,21.736685,point,0.0
0,38.25162,21.7369,point,0.0
0,38.25162,21.737114,point,0.0
0,38.25162,21.737328,point,0.0
0,38.25162,21.737545,point,0.0
0,38.25162,21.737759,point,0.0
0,38.25162,21.737972,point,0.0
0,38.25162,21.738188,point,0.0
0,38.25162,21.738401,point,0.0
0,38.25162,21.738615,point,0.0
0,38.25162,21.738832,point,0.0
0,38.25162,21.739046,point,0.0
0,38.25162,21.739262,point,0.0
0,38.25162,21.739475,point,0.0
0,38.25162,21.739689,point,0.0
0,38.25162,21.739904,point,0.0
0,38.25162,21.740118,point,0.0
0,38.25162,21.740332,point,0.0
0,38.25162,21.74055,point,0.0
0,38.25162,21.740763,point,0.0
0,38.25162,21.740976,point,0.0
0,38.25162,21.741192,point,0.0
0,38.25162,21.741405,point,0.0
0,38.25162,21.74162,point,0.0
0,38.25162,21.741837,point,0.0
0,38.25162,21.74205,point,0.0
0,38.25162,21.742264,point,0.0
0,38.25162,21.74248,point,0.0
0,38.251442,21.725529,point,0.0
0,38.251442,21.725742,point,0.0
0,38.251442,21.725956,point,0.0
0,38.251442,21.726171,point,0.0
0,38.251442,21.726385,point,0.0
0,38.251442,21.726603,point,0.0
0,38.251442,21.726816,point,0.0
0,38.251442,21.72703,point,0.0
0,38.251442,21.727245,point,0.0
0,38.251442,21.727459,point,0.0
0,38.251442,21.727673,point,0.0
0,38.251442,21.727888,point,0.0
0,38.251442,21.728102,point,0.0
0,38.251442,21.728315,point,0.0
0,38.251442,21.728533,point,0.0
0,38.251442,21.728746,point,0.0
0,38.251442,21.72896,point,0.0
0,38.251442,21.729176,point,0.0
0,38.251442,21.72939,point,0.0
0,38.251442,21.729603,point,0.0
0,38.251442,21.72982,point,0.0
0,38.251442,21.730036,point,0.0
0,38.251442,21.730247,point,0.0
0,38.251442,21.730463,point,0.0
0,38.251442,21.730679,point,0.0
0,38.251442,21.730892,point,0.0
0,38.251442,21.731106,point,0.0
0,38.251442,21.731323,point,0.0
0,38.251442,21.731537,point,0.0
0,38.251442,21.73175,point,0.0
0,38.251442,21.731966,point,0.0
0,38.251442,21.73218,point,0.0
0,38.251442,21.732393,point,0.0
0,38.251442,21.73261,point,0.0
0,38.251442,21.732824,point,0.0
0,38.251442,21.733038,point,0.0
0,38.251442,21.733253,point,0.0
0,38.251442,21.733467,point,0.0
0,38.251442,21.73368,point,0.0
0,38.251442,21.733896,point,0.0
0,38.251442,21.73411,point,0.0
0,38.251442,21.734327,point,0.0
0,38.251442,21.73454,point,0.0
0,38.251442,21.734755,point,0.0
0,38.251442,21.73497,point,0.0
0,38.251442,21.735184,point,0.0
0,38.251442,21.735397,point,0.0
0,38.251442,21.735615,point,0.0
0,38.251442,21.735828,point,0.0
0,38.251442,21.736042,point,0.0
0,38.251442,21.736258,point,0.0
0,38.251442,21.736471,point,48.453075
0,38.251442,21.736685,point,0.0
0,38.251442,21.7369,point,0.0
0,38.251442,21.737114,point,0.0
